unit,reto,reto_name,start_ms,end_ms,duration_ms,status,notes
ix,7,Verificar sitios activos,1785414824925,1785414824937,12,PASS,ok
ix,8,Probar configuracion,1785414824947,1785414824966,19,PASS,ok
ix,9,Recargar nginx,1785414824976,1785414825000,24,PASS,ok
ix,10,Detener nginx,1785414825011,1785414826035,1024,PASS,ok
x,1,Verificar openssl,1785414826072,1785414826084,12,PASS,ok
x,2,Generar clave privada,1785414826094,1785414826212,118,PASS,ok
x,3,Verificar clave privada,1785414826226,1785414826424,198,PASS,ok
x,4,Generar certificado autofirmado,1785414826435,1785414826527,92,PASS,ok
x,5,Ver detalles del certificado,1785414826537,1785414826829,292,PASS,ok
x,6,Verificar validez del certificado,1785414826839,1785414827129,290,PASS,ok
x,7,Generar CSR,1785414827139,1785414827230,91,PASS,ok
x,8,Ver detalles del CSR,1785414827240,1785414827740,500,PASS,ok
x,9,Crear CA local,1785414827749,1785414827834,85,PASS,ok
x,10,Firmar certificado con CA,1785414827845,1785414828059,214,PASS,ok
xi,1,Verificar herramientas,1785414828092,1785414828103,11,PASS,ok
xi,2,Crear backup con tar,1785414828113,1785414828124,11,PASS,ok
xi,3,Verificar contenido del backup,1785414828134,1785414828147,13,FAIL,validation_failed
xi,4,Restaurar backup,1785414828157,1785414828170,13,FAIL,validation_failed
xi,5,Backup incremental,1785414828179,1785414828191,12,PASS,ok
xi,6,Backup con rsync,1785414828200,1785414828347,147,PASS,ok
xi,7,Verificar integridad con checksum,1785414828359,1785414828372,13,PASS,ok
xi,8,Backup de configuracion,1785414828382,1785414828395,13,PASS,ok
xi,9,Programar backup automatico,1785414828405,1785414828416,11,PASS,ok
xi,10,Restaurar desde backup verificado,1785414828426,1785414828439,13,PASS,ok
